_id,EVENT_UNIQUE_ID,OCCURRENCE_YEAR,OCCURRENCE_DATE,OCCURRENCE_TIME,REPORTED_YEAR,REPORTED_DATE,REPORTED_TIME,DIVISION,LOCATION_TYPE,AGE_BIAS,MENTAL_OR_PHYSICAL_DISABILITY,RACE_BIAS,ETHNICITY_BIAS,LANGUAGE_BIAS,RELIGION_BIAS,SEXUAL_ORIENTATION_BIAS,GENDER_BIAS,MULTIPLE_BIAS,PRIMARY_OFFENCE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,ARREST_MADE,OFFENCE_GROUP,LOCATION_CATEGORY,LOCATION_GROUP
3,GO-201861664,2018,2018-01-10,2145,2018,2018-01-10,2146,D14,Public Transportation,NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,095,Annex (95),095,Annex (95),NO,Mischief and Property Damage,Public,Public
7,GO-2018168427,2018,2018-01-27,1158,2018,2018-01-27,1158,D51,"Government Building (Courthouse, Museums, Parliament Building, etc.)",NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,073,Moss Park (73),073,Moss Park (73),NO,Mischief and Property Damage,Government,Government
11,GO-2018276837,2018,2018-02-05,1257,2018,2018-02-13,941,D43,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,None,None,Jewish,None,None,YES,Mischief Under $5000,134,Highland Creek (134),134,Highland Creek (134),NO,Mischief and Property Damage,Public,Public
13,GO-2018247956,2018,2018-02-13,600,2018,2018-02-13,843,NSA,"Open Area, Park or Parking Lot",NO,NO,Black,None,None,Jewish,None,None,YES,Mischief Under $5000,NSA,NSA,NSA,NSA,NO,Mischief and Property Damage,Public,Public
20,GO-2018349271,2018,2018-02-24,1045,2018,2018-02-24,1047,D32,Other Commercial / Corporate Places ,NO,NO,Black,None,None,Jewish,None,None,YES,Mischief Under $5000,105,Lawrence Park North (105),105,Lawrence Park North (105),NO,Mischief and Property Damage,Other,Other
21,GO-2018368358,2018,2018-02-27,943,2018,2018-02-27,951,D52,"Government Building (Courthouse, Museums, Parliament Building, etc.)",NO,NO,Black,None,None,None,None,None,NO,Assault,NSA,NSA,NSA,NSA,YES,Assault-related Offenses,Government,Government
23,GO-2018408769,2018,2018-03-05,1100,2018,2018-03-05,1239,D31,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,None,None,None,None,None,NO,Mischief Interfere With Property,027,York University Heights (27),027,York University Heights (27),NO,Mischief and Property Damage,Public,Public
24,GO-2018416387,2018,2018-03-06,700,2018,2018-03-06,1531,D53,"Government Building (Courthouse, Museums, Parliament Building, etc.)",NO,NO,Black,"Chinese, Arab",None,Jewish,None,None,YES,Uttering Threats - Bodily Harm,173,North Toronto (173),104,Mount Pleasant West (104),NO,Threats and Harassment,Government,Government
28,GO-2018520971,2018,2018-03-22,620,2018,2018-03-22,1616,D31,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,027,York University Heights (27),027,York University Heights (27),NO,Mischief and Property Damage,Private,Private
34,GO-2018660834,2018,2018-04-13,1045,2018,2018-04-13,1045,D51,Non-Commercial/Non for Profit,NO,NO,Black,None,None,None,None,None,NO,Criminal Harassment,073,Moss Park (73),073,Moss Park (73),NO,Threats and Harassment,Casual,Corporate
40,GO-2018712781,2018,2018-04-20,2030,2018,2018-04-21,1211,D51,Streets/Roadways/Highway,NO,NO,Black,None,None,None,None,None,NO,Assault,073,Moss Park (73),073,Moss Park (73),NO,Assault-related Offenses,Public,Public
41,GO-2018732797,2018,2018-04-20,1600,2018,2018-04-24,1400,D41,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,None,None,"Jewish, Muslim",None,None,YES,Mischief Interfere With Property,122,Birchcliffe-Cliffside (122),122,Birchcliffe-Cliffside (122),NO,Mischief and Property Damage,Public,Public
50,GO-2018903594,2018,2018-05-19,1450,2018,2018-05-19,1451,D33,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,Black,None,None,None,None,None,NO,Assault With a Weapon,043,Victoria Village (43),043,Victoria Village (43),YES,Assault-related Offenses,Private,Private
55,GO-2018982987,2018,2018-05-31,1212,2018,2018-05-31,1212,D55,"Open Area, Park or Parking Lot",NO,NO,"Black, White",None,None,None,2SLGBTQ+,None,YES,Mischief Under $5000,054,O'Connor-Parkview (54),054,O'Connor-Parkview (54),NO,Mischief and Property Damage,Public,Public
69,GO-20181268199,2018,2018-06-29,736,2018,2018-06-29,800,D52,Public Transportation,NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,078,Kensington-Chinatown (78),078,Kensington-Chinatown (78),NO,Mischief and Property Damage,Public,Public
76,GO-20181358465,2018,2018-07-24,1900,2018,2018-07-25,1218,D55,"Open Area, Park or Parking Lot",NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,043,Victoria Village (43),043,Victoria Village (43),NO,Mischief and Property Damage,Public,Public
90,GO-20181650394,2018,2018-08-20,1,2018,2018-09-06,1211,D22,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",NO,NO,Black,None,None,None,None,None,NO,"Mischief To Religious Property, Educational Institutions, Etc.",018,New Toronto (18),018,New Toronto (18),NO,Mischief and Property Damage,Private,Private
92,GO-20181553183,2018,2018-08-22,1645,2018,2018-08-22,1846,D51,"Government Building (Courthouse, Museums, Parliament Building, etc.)",NO,NO,Black,None,None,None,2SLGBTQ+,None,YES,Mischief Under $5000,073,Moss Park (73),073,Moss Park (73),NO,Mischief and Property Damage,Government,Government
94,GO-20181640330,2018,2018-08-27,1457,2018,2018-08-27,1553,D43,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,134,Highland Creek (134),134,Highland Creek (134),NO,Mischief and Property Damage,Public,Public
